YEAR_MONTH,EURO STOXX 50,log_returns,residuals
2015-03-01,85712.56278907844,0.028204558369713917,-0.05702144557352817
2015-04-01,84114.98483115333,-0.018638784163488742,-0.10386478810673083
2015-05-01,84016.26299298753,-0.0011736534027078083,-0.0863996573459499
2015-06-01,80714.5521460188,-0.039298473049727334,-0.12452447699296942
2015-07-01,84924.7774406923,0.052161911114328774,-0.033064092828913316
2015-08-01,77175.36181429354,-0.09125034954387257,-0.17647635348711466
2015-09-01,73252.8472671209,-0.050825994915467465,-0.13605199885870956
2015-10-01,80829.80927040335,0.10343573370810555,0.018209729764863458
2015-11-01,83007.2860197941,0.026939031145135406,-0.058286972798106684
2015-12-01,77413.33863828517,-0.06739104059100287,-0.15261704453424496
2016-01-01,72252.82240015914,-0.0666618483183965,-0.1518878522616386
2016-02-01,69930.86984632218,-0.032136496218476474,-0.11736250016171856
2016-03-01,71385.08976973193,0.02079510703363896,-0.06443089690960313
2016-04-01,72317.47650072114,0.01306136525143864,-0.07216463869180345
2016-05-01,74092.4802307654,0.024544602714760888,-0.0606814012284812
2016-06-01,69505.51922216144,-0.06190859037675078,-0.14713459431999287
2016-07-01,72643.48236932412,0.04514696361209469,-0.0400790403311474
2016-08-01,73476.02824886856,0.01146070992730941,-0.07376529401593268
2016-09-01,73035.01268215051,-0.006002169377260058,-0.09122817332050215
2016-10-01,74400.33321728751,0.018694054878567457,-0.06653194906467463
2016-11-01,74407.54463619635,9.69272393953613e-05,-0.08512907670384673
2016-12-01,80289.32710001493,0.07904819991812118,-0.006177804025120914
2017-01-01,78907.8430397374,-0.017206322560863296,-0.10243232650410539
2017-02-01,81179.06699159497,0.028783247195260264,-0.056442756747981826
2017-03-01,85762.91838663153,0.056465928531934884,-0.028760075411307207
2017-04-01,87445.66568856618,0.019620919315601837,-0.06560508462764025
2017-05-01,88305.81389565823,0.009836373253254482,-0.07538963068998761
2017-06-01,85679.86273437111,-0.029737013288727798,-0.11496301723196989
2017-07-01,85929.02969115233,0.002908115732557892,-0.0823178882106842
2017-08-01,85308.59899537475,-0.007220268842875854,-0.09244627278611794
2017-09-01,89705.0778335903,0.05153617443012881,-0.03368982951311328
2017-10-01,91737.57895260358,0.022657592726063047,-0.06256841121717904
2017-11-01,89197.17013975233,-0.02769212837155599,-0.11291813231479808
2017-12-01,87637.63863331178,-0.017484091748618313,-0.1027100956918604
2018-01-01,90346.272442433,0.03090719753934157,-0.05431880640390052
2018-02-01,86181.80235738798,-0.04609454239186839,-0.13132054633511048
2018-03-01,84306.08743223753,-0.02176462865527029,-0.10699063259851238
2018-04-01,89201.27318844185,0.05806444001020572,-0.02716156393303637
2018-05-01,86953.79718505993,-0.025195559693795166,-0.11042156363703726
2018-06-01,86777.98776545482,-0.002021871675493836,-0.08724787561873593
2018-07-01,90191.35127070177,0.03933443944877646,-0.04589156449446563
2018-08-01,86845.87457104491,-0.03709309875639499,-0.12231910269963708
2018-09-01,87083.97572984533,0.002741651920444843,-0.08248435202279725
2018-10-01,81974.31242850749,-0.058675126606405836,-0.14390113054964793
2018-11-01,81394.29054558114,-0.007075654137778886,-0.09230165808102098
2018-12-01,77098.64723728056,-0.05277573254225987,-0.13800173648550196
2019-01-01,81341.94559108769,0.05503726078030735,-0.03018874316293474
2019-02-01,84934.59989058538,0.0441673022865503,-0.04105870165669179
2019-03-01,86482.6925946188,0.018226879340430324,-0.06699912460281177
2019-04-01,91091.6596210275,0.05329351906297486,-0.03193248488026723
2019-05-01,86057.21887899737,-0.055267856167898644,-0.14049386011114073
2019-06-01,91222.21117023924,0.060018117695672,-0.025207886247570088
2019-07-01,91141.1448749192,-0.0008886683876665469,-0.08611467233090864
2019-08-01,90162.87859949272,-0.010733530687693782,-0.09595953463093587
2019-09-01,93997.73710648032,0.042532565137169076,-0.042693438806073014
2019-10-01,95012.80648530363,0.010798870377841663,-0.07442713356540043
2019-11-01,97669.9656835928,0.027966326820376253,-0.05725967712286584
2019-12-01,98841.69692147014,0.011996842936069285,-0.0732291610071728
2020-01-01,96209.65335455314,-0.026628878791995603,-0.11185488273523769
2020-02-01,88071.31844631223,-0.08458958768149183,-0.16981559162473392
2020-03-01,73794.57402894515,-0.16210435666487844,-0.24733036060812053
2020-04-01,77723.67832098274,0.05324381018171387,-0.03198219376152822
2020-05-01,81405.1076739444,0.04736560894298014,-0.03786039500026195
2020-06-01,86611.0061172726,0.06395051357440162,-0.021275490368840466
2020-07-01,85220.56995076341,-0.016053804577983,-0.10127980852122509
2020-08-01,87933.928482618,0.031839244133455624,-0.053386759809786466
2020-09-01,85887.99920425723,-0.023266665252709484,-0.10849266919595157
2020-10-01,79609.83737007013,-0.07309707866469783,-0.15832308260793992
2020-11-01,94007.93256079972,0.18085824147334129,0.0956322375300992
2020-12-01,95673.77032874124,0.01772018299481415,-0.06750582094842794
2021-01-01,93872.40761923708,-0.0188281772874066,-0.10405418123064869
